PRODUCT_ID,PRODUCT_NAME,UNIT_PRICE
16,Women's Socks (Grey),39.89
17,Women's Sweater (Brown),24.46
18,Women's Jacket (Black),14.34
19,Men's Coat (Red),28.21
20,Girl's Shorts (Green),38.34
21,Girl's Pyjamas (White),39.78
22,Men's Shorts (Black),10.33
23,Men's Pyjamas (Blue),48.39
24,Boy's Sweater (Red),9.8
25,Girl's Jeans (Grey),48.75
26,Girl's Hoodie (White),39.91
27,Boy's Coat (Blue),10.24
28,Men's Hoodie (Red),24.71
29,Boy's Shirt (Black),37.34
30,Women's Pyjamas (Grey),28.59
31,Women's Skirt (Green),5.65
32,Women's Jacket (Blue),37
33,Boy's Pyjamas (Grey),23.32
34,Women's Jeans (Red),7.18
35,Girl's Dress (Red),49.12
36,Women's Trousers (Blue),29.51
37,Boy's Jeans (Blue),22.98
38,Girl's Pyjamas (Red),11
39,Boy's Trousers (Blue),34.06
40,Girl's Pyjamas (Black),8.66
41,Women's Dress (Black),10.11
1,Boy's Shirt (White),29.55
2,Women's Shirt (Green),16.67
3,Boy's Sweater (Green),44.17
4,Boy's Trousers (White),43.71
5,Girl's Shorts (Red),38.28
6,Boy's Socks (Grey),19.16
7,Boy's Socks (Black),19.58
8,Boy's Coat (Brown),21.16
9,Women's Jeans (Brown),29.49
10,Women's Skirt (Red),30.69
11,Boy's Shorts (Blue),10.48
12,Boy's Socks (White),12.64
13,Boy's Hoodie (Grey),26.14
14,Women's Skirt (Brown),13.97
15,Girl's Coat (Blue),13.09
42,Boy's Jeans (Black),16.64
43,Boy's Trousers (Black),39.32
44,Women's Coat (Black),31.68
45,Men's Jeans (Grey),27.64
46,Girl's Trousers (Red),39.16
